"UsageDate","ResourceType","CostUSD","Cost","Currency"
"2025-10-02","microsoft.storage/storageaccounts","0.001927798","0.0016488179952104","EUR"
"2025-10-03","microsoft.storage/storageaccounts","9.12e-7","7.8002052685597e-7","EUR"
"2025-10-04","microsoft.storage/storageaccounts","9.12e-7","7.8002052685597e-7","EUR"
"2025-10-05","microsoft.storage/storageaccounts","1.52e-7","1.30003421142662e-7","EUR"
"2025-10-06","microsoft.compute/disks","0.04528477797","0.0387314214591173","EUR"
"2025-10-06","microsoft.compute/virtualmachines","0.224937568","0.192385877523093","EUR"
"2025-10-06","microsoft.databricks/workspaces","0.0663094895833333","0.0567135559214278","EUR"
"2025-10-06","microsoft.network/natgateways","0.653222069512308","0.5586914723848","EUR"
"2025-10-06","microsoft.network/publicipaddresses","0.0724430555555556","0.0619595069753298","EUR"
"2025-10-06","microsoft.storage/storageaccounts","0.012674268","0.0108401197399932","EUR"
"2025-10-07","microsoft.network/natgateways","1.08","0.923708518645228","EUR"
"2025-10-07","microsoft.network/publicipaddresses","0.12","0.10263427984947","EUR"
"2025-10-07","microsoft.storage/storageaccounts","0.000505051","0.000431962880602121","EUR"
"2025-10-08","microsoft.network/natgateways","1.08","0.923708518645228","EUR"
"2025-10-08","microsoft.network/publicipaddresses","0.12","0.10263427984947","EUR"
"2025-10-08","microsoft.storage/storageaccounts","0.00036433","0.000311606226479644","EUR"
"2025-10-09","microsoft.network/natgateways","0.675","0.577317824153267","EUR"
"2025-10-09","microsoft.network/publicipaddresses","0.075","0.0641464249059186","EUR"
"2025-10-09","microsoft.storage/storageaccounts","0.000195232","0.000166979131029764","EUR"
"2025-10-14","microsoft.datafactory/factories","0.00009","0.0000769757098871023","EUR"
"2025-10-14","microsoft.sql/servers","0","0","EUR"
"2025-10-14","microsoft.storage/storageaccounts","0.0000012","0.0000010263427984947","EUR"
"2025-10-15","microsoft.sql/servers","0","0","EUR"
"2025-10-15","microsoft.storage/storageaccounts","0.016047605","0.0137252865206979","EUR"
"2025-10-15","microsoft.web/sites","0","0","EUR"
"2025-10-16","microsoft.datafactory/factories","0.00001","0.00000855285665412248","EUR"
"2025-10-16","microsoft.sql/servers","0","0","EUR"
"2025-10-16","microsoft.storage/storageaccounts","0.0000036768","0.00000314471433458775","EUR"
"2025-10-16","microsoft.web/sites","0","0","EUR"
"2025-10-17","microsoft.datafactory/factories","0.00001","0.00000855285665412248","EUR"
"2025-10-17","microsoft.sql/servers","0","0","EUR"
"2025-10-17","microsoft.storage/storageaccounts","0.0000024512","0.0000020964762230585","EUR"
"2025-10-17","microsoft.web/sites","0","0","EUR"
"2025-10-18","microsoft.datafactory/factories","0.00001","0.00000855285665412248","EUR"
"2025-10-18","microsoft.sql/servers","0","0","EUR"
"2025-10-18","microsoft.web/sites","0","0","EUR"
"2025-10-19","microsoft.datafactory/factories","0.00001","0.00000855285665412248","EUR"
"2025-10-19","microsoft.sql/servers","0","0","EUR"
